# Constructed from biom file
#OTU ID	PV22	PV41	PV30	HV7	HV4	HV23	HV9	PV32	HV8	PV46	HV34	PV55	PV37	HV17	PV52	HV10	HV26	HV54	PV63
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.000125156445557	0.0	0.0	0.0	6.25782227785e-05	6.25782227785e-05	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.00300375469337	0.00600750938673	0.00700876095119	0.00663329161452	0.000750938673342	0.000375469336671	0.000563204005006	0.00112640801001	0.000938673341677	0.0023153942428	0.00926157697121	0.00112640801001	0.00125156445557	0.000250312891114	0.000438047559449	0.0269086357947	0.00844806007509	0.00237797246558	0.00162703379224
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.0	0.0	6.25782227785e-05	0.0	0.0	0.000375469336671	0.0	0.0	0.0	0.000125156445557	0.0	0.0	0.0	0.000125156445557	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	0.000187734668335	6.25782227785e-05	6.25782227785e-05	0.000187734668335	6.25782227785e-05	0.000688360450563	0.0	0.0	0.000563204005006	0.000563204005006	0.000125156445557	0.000250312891114	0.000125156445557	0.0	0.0	0.000187734668335	0.000187734668335	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	0.00381727158949	0.0081351689612	0.013266583229	0.00732165206508	0.00738423028786	0.00387984981227	0.00563204005006	0.00287859824781	0.000688360450563	0.0106382978723	0.0100125156446	0.00331664580726	0.0150813516896	0.000750938673342	0.0125782227785	0.00369211514393	0.00413016270338	0.00237797246558	0.0134543178974
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__	0.0	0.0	0.0	6.25782227785e-05	6.25782227785e-05	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.000125156445557
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenella	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.000312891113892	6.25782227785e-05	6.25782227785e-05	6.25782227785e-05	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	0.0	0.0	6.25782227785e-05	0.0	0.0	0.000125156445557	0.000250312891114	6.25782227785e-05	0.000125156445557	6.25782227785e-05	0.000125156445557	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	0.0	0.000125156445557	6.25782227785e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.000125156445557	0.0	0.000876095118899	6.25782227785e-05	0.000125156445557	0.0	0.0	0.000125156445557	0.0	0.000125156445557	6.25782227785e-05	6.25782227785e-05	0.000125156445557	0.0	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53	0.0	0.0	0.0	0.0	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium	0.0	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis	0.000250312891114	0.0	0.000563204005006	0.0	0.0	0.000187734668335	0.000375469336671	0.0	0.000187734668335	6.25782227785e-05	0.0	0.0	0.0	0.000250312891114	0.0	0.0	6.25782227785e-05	0.000125156445557	0.000250312891114
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium	0.0	6.25782227785e-05	0.000125156445557	6.25782227785e-05	0.0	0.00118898623279	0.0	0.0	0.00081351689612	0.0	6.25782227785e-05	0.0	0.0	0.000125156445557	6.25782227785e-05	0.0	0.000438047559449	0.00281602002503	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	0.000438047559449	0.00256570713392	0.00275344180225	0.00125156445557	0.00125156445557	0.0185231539424	0.000750938673342	0.00187734668335	0.00212765957447	0.0784105131414	0.00394242803504	0.000938673341677	0.00525657071339	0.000563204005006	0.0014392991239	0.00150187734668	0.00137672090113	0.00331664580726	0.00475594493116
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	0.0	0.0	6.25782227785e-05	0.0	0.0	6.25782227785e-05	0.0	6.25782227785e-05	0.0	6.25782227785e-05	0.000187734668335	6.25782227785e-05	6.25782227785e-05	0.0	0.0	0.0	0.0	0.0	0.0
